en,vi,description
Estrogen,kích thích tố nữ,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Ethical Practice,thực hành đúng quy cách,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Evaluation,lượng giá,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Event Recording,ghi nhận sự kiện,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Experiments,thử nghiệm,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Explained,có giải thích,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Exploration,sự khám phá,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Expressive Language,ngôn ngữ diễn đạt,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Expressive Language Development,phát triển ngôn ngữ trình bày,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Externalized,ngoại hiện,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Externalized Maladaptive Behaviour,hành vi kém thích ứng ngoại hiện,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Eye Disorders,rối loạn về mắt,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Eye/hand Coordination,sự phối hợp hoàn hảo giữa tai và mắt,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Face-to-face Interaction,tương tác trực tiếp,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Facilitation,việc tạo điều kiện thuận lợi,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Facilitator,nhân tố tạo thuận lợi,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Fallopian tubes,vòi Falop,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Family Medical History,lịch sử bệnh lý gia đình,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Feeding Ones self,tự thân ăn uống,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Feelings,cảm xúc/ tình cảm,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Field Notes,ghi chép thực địa,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Field Work,công tác thực địa,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Fine Motor Skills,các kỹ năng vận động tinh,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Flexible Groupings,sực phân nhóm linh động,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Folders,tập tài liệu,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Formal Assessment,đánh giá chính thức,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Formative Assessment,đánh giá hình thành,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Framework for Action,khuôn khổ hành động,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Functional Ability,khả năng thực dụng (làm việc),Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Gastrointestinal Abnormalities,sự bất thường trong dạ dày ruột,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
General Intelligence,"trí thông minh, năng khiếu tổng quát",Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Generalised Epilepsy,chứng động kinh phổ biến,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Genetics,di tuyền,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Genetic Conditions,điều kiện di truyền,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Genetic Damage,tổn thương gien,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Genitalia,cơ quan sinh dục ngoài,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
German Measles,bệnh sởi Đức,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Getting Dressed,mặc quần áo,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Glaucoma,bệnh tăng nhãn áp,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Glossary of Terms,bảng chú giải thuật ngữ,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Goals,(các) mục tiêu,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Grand Mal,chứng động kinh nặng,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Graphomotor Skills,các kỹ năng viết tay,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Gross Motor Skills,các kỹ năng vận động thô,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Hand-biting,cắn tay,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Hand-flapping,đập tay,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Head Trauma,chân thương đầu,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Health,"sức khỏe, y tế",Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Health Considerations,cân nhắc sức khỏe,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Hearing,thính giác,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Hearing Aids,dụng cụ trợ thính,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Hearing Impaired,sự sút kém thính giác,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Hearing Impairment,khiếm thính,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Heart Attack,cơn đau tim,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Herbicides,thuốc diệt cỏ,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Hereditary,di truyền,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Heredity Blood Disease,bệnh di truyền máu,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Heredity Hearing Loss,sự mất tính di truyền thính giác,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Herpes,bệnh mụn rộp,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Herpes Virus,virút hecpes,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Hertz,hec (đơn vị đo âm thanh),Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
High Blood Pressure,huyết áp cao,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
High Expectations,"các kỳ vọng, mong đợi cao",Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
High Stakes Testing,kiểm tra giám sát cao,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
HIV/Aids,HIV/ Aids,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
HIV/Aids,bệnh liệt kháng,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Holistic,"toàn diện, thể chính luận",Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Homework,bài tập về nhà,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Hydrocephalus,bệnh tràn dịch não,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Hydronephrosis,Chứng thận ứ nước,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Hyperactivity,tính hiếu động thái quá,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Hyperbilirrubinemia,tăng bilirubine,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Hyperkenetic Behaviour,tính tăng động,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Hypertension,chứng tăng huyết áp,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Hypospadias,tật lỗ tiểu lệch dưới,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Hypoxia,sự giảm oxy máu,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Imitation,sự bắt chước,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Immature,chưa trưởng thành,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Impact Assessment,đánh giá qua thực tế,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Impaired Social Interaction,khiếm khuyết tương tác xã hội,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Impaired Social Communication,khiếm khuyết giao tiếp xã hội,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Impairment,khiếm khuyết,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Important Steps in Learning,các bước quan trọng trong học tập,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Immune System,hệ thống miễn nhiễm,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Interpreted,có diễn giải,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Incidental Learning,học tập có liên quan,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Inclusive Education,giáo dục hòa nhập,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Inclusive Learning Friendly Environments,môi trường học tập thân thiện hòa nhập,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Index for Inclusion,hướng dẫn thực hiện giáo dục hòa nhập,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Indicators,các tiêu chí/ mục chỉ thị,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Individual Education Plan,kế hoạch giáo dục cá nhân,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Individual Family Service Plan,kế hoạch dịch vụ gia đình cá nhân,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Individual Input,nhập liệu cá nhân,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Individual Practice,thực hành cá nhân,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Individual Student Abilities,năng lực riêng/ cá nhân của học sinh,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Individual Student Interests,sở thích riêng/ cá nhân của học sinh,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Individual Student Needs,nhu cầu riêng/ cá nhân của học sinh,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Industrial Chemicals,hoá chất công nghiệp,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Infection,nhiễm trùng,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Influence,ảnh hưởng,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Influenza,cúm,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Informal Assessment,đánh giá không chính thức,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Initial Screening,kiểm tra sàng lọc ban đầu,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Input Mode,kiểu nhập,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Inquiry,sự thẩm tra,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Insecticides,thuốc diệt côn trùng,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Interest Groups,(các) nhóm hưởng lợi,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Instruction,việc giảng dạy/ dạy học,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Instructional Considerations,(các) cân nhắc trong giảng dạy,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Instructional Utility,tính thiết thực giảng dạy,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Integrated,hội nhập,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Integrated Education,giáo dục hội nhập,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Integration,hội nhập,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Intellectual Disability,chậm phát triển trí tuệ,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Intellectual Development,phát triển (về mặt) trí tuệ,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Intensive,tăng cường,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Interest,quan tâm/ lợi ích,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Interest Inventory,bản kê các quyền lợi,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Intermittent Input,nhập liệu không liên tục,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Internal Consistency,tính kiên định nội tại,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Internalised,nội tại,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Internalised Maladaptive Behaviour,hành vi kém thích ứng nội tại,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
International Classification of,Phân loại quốc tế về,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Functioning Disability and Health,chức năng khuyết tật và y tế,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Interpersonal Intelligence,"trí thông minh, năng khiếu liên nhân",Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Interrupted language development,gián đoạn phát triển ngôn ngữ,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Inter-team Input,nhập liệu liên nhóm,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Inter-team Practice,thực hành liên nhóm,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Interview,phỏng vấn,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Intervention,can thiệp,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Intrapersonal Intelligence,"trí thông minh, năng khiếu đơn nhân",Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Inventories,bản kiểm kê/ tóm tắt,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
IQ Testing,kiểm tra IQ (chỉ số thông minh),Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Iodine,I-ốt,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Irregular Menstrual Cycles,bât thường chu kỳ kinh,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Irregular Wiring in the Brain,liên kết dây thần kinh bất thường,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Irregularity of the Ovarian Function,chức năng bất thường của trứng,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Ischemia,chứng thiếu máu cục bộ,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Journal,tạp chí chuyên đề,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Journaling,null,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Kidneys,thận,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Kinesthetic,mang tính chất vận động,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Knowledge,kiến thức,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Lack of Sleep,thiếu ngủ,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Language Delays,sự chậm trễ ngôn gữ,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Lazy Eye,mắt mệt mỏi,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Language Disorders,rối loạn ngôn ngữ,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Language Therapist,nhà trị liệu ngôn ngữ,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Language Therapy,liệu pháp ngôn ngữ,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Learning Agreements,(các) thỏa thuận học tập,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Learning Centres,(các) trung tâm hoc tập,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Learning Contracts,(các) hợp đồng học tập,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Learning Difficulties and Disabilities.,Khó khăn và khuyết tật học tập,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Learning Disability,khuyết tật trong học tập,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Learning Environment,môi trường học tập,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Learning Modalities,(các) phương thức học tập,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Learning Objectives,(các) mục tiêu học tập,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Learning Profile,hồ sơ học tập,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Learning Styles,kiểu học tập,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Learning Theories,lý thuyết học tập,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Leg Paralysis,liệt chân,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Limiting Content,nội dung có giới hạn,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Linguistic Development,phát triển (về mặt) ngôn ngữ,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Lip Reading,đọc môi,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Listening,nghe,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Live Independently,sống độc lập,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Loop Diuretics,vòng tránh thai,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Logical/Mathematical Intelligence,"trí thông minh, năng khiếu toán học/ logic học",Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Low Vision,thị lực kém,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Male Genitalia Abnormalities,sự bất thường của cơ quan sinh dục ngoài,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Malnutrition/Malnourishment,suy dinh dưỡng,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Manipulating,điều khiển,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Magnifiers,kính lúp,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Mainstreaming,chính quy,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Maintenance Function,chức năng duy trì,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Maladaptive Behaviour,hành vi kém thích ứng,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Management Support Teachers,quản lý giúp giáo viên hỗ trợ,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Material,tài liệu,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Maternal Diabetes,tiểu đường mẹ,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Mathematical Skills,các kỹ năng toán học,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Matrix,ma trận,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Mean,điểm trung bình,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Meaningful Learning,học tập có ý nghĩa,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Meaningful Summation,kết luận có ý nghĩa,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Mechanical Ventilation,sự lọc máu cơ học,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Median,trung vị,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Medical Model,mô hình y tế,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Medical Practitioners,bác sỹ,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Memory,trí nhớ,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Meningitis,viêm màng não,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Meningocele Spina Bifida,tật nứt đốt sống thoát vị mạng não,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Mental Retardation,chậm phát triển trí tuệ,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Methods of Assessment,(các) phương pháp đánh giá,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Methods of Performance,(các) phương pháp thực hiện/ trình bày,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Methods of Practice,(các) phương pháp thực hành,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Methods of Presentation,(các) phương pháp trình bày,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Mixed Cerebral Palsy,sự liệt não hỗn hợp,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Mixed Hearing Loss,sự mất thính giác hỗn hợp,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Mode,"điểm xuất hiện thường xuyên nhất, giá trị điểm số",Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Modified Curriculum,chương trình học đã bổ sung,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Money Concepts,các khái niệm tiền tệ,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Monitoring,kiểm soát,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Morphological Abnormalities,sự bất thường về hình thái học,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Motivation,động cơ,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Motor Abilities,các khả năng vận động,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Motor Coordination,điều hòa vận động,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Motor Development,sự phát triển vận động,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Motor Interaction,sự tương tác vận động,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Motor Skills,các kỹ năng vận động,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Multidiscipline Team,nhóm làm việc đa ngành,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Multi-grade Teaching,dạy học đa khối lớp,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Multi-level,đa trình độ (cho các trình độ khác nhau),Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Multi-level Activities,(các) hoạt động đa trình độ,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Multi-level Instruction Process,quá trình giảng dạy đa trình độ,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Multi-level Learning Stations,các đơn vị học tập đa trình độ,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Multi-modal,đa phương thức,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Multi-modal Activities,(các) hoạt động đa phương thức,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Multiple Intelligences,trí tuệ đa thành tố,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Multiple Testing,kiểm tra trắc nghiệm,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Multiply Handicapped,đa khuyết tật,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Mumps,bệnh quai bị,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Muscular Dystrophy,loạn dưỡng cơ,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Muscular Problems,vấn đề cơ bắp,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Music/Rhythmic Intelligence,"trí thông minh, năng khiếu âm nhạc, âm điệu",Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Myelomeningocele Spina Bifida,thoát vị màng não tủy sống,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Myoclonic Seizures,chứng máy cơ,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
National Curriculum,chương trình giáo dục quốc gia,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Natural Hormones,hóc mon tự nhiên,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Naturalistic Intelligence,"trí thông minh, năng khiếu tự nhiên học",Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
