"extra-chromosomal DNA ADN"	"ngoài nhiễm sắc thể"
"extrachromosomal element"	"yếu tố ngoài nhiễm sắc thể"
"extra-chromosomal inheritance"	"di truyền ngoài nhiễm sắc thể"
"extra-chromosomal nucleoi"	"di truyền ngoài nhân"
"extra-embryonic"	"ngoài phôi, ngoại phôi"
"extra-embryonic coelom"	"khoang ngoài phôi"
"extraembryonic membranes"	"màng ngoài phôi"
"extra-floral nectary"	"tuyến mật ngoài hoa"
"extra-nuptial nectary"	"tuyến mật ngoại giao phối"
"extranuclear genes"	"(các) gen ngoài nhân"
"extraocular mucle"	"cơ ngoài mắt"
"extrasensory perception"	"nhận thức ngoại cảm"
"extrasystole"	"kỳ ngoại tâm thu"
"extravasation"	"(sự) tràn dịch"
"extravasate"	"tràn dịch"
"extraversion/introversion"	"hướng về ngoại cảm / hướng vào nội tâm"
"extrinsic"	"ngoại lai"
"extremophilic bacteria"	"vi khuẩn cực đoan (sống ở những điều kiện cực đoan)"
"extremozyme"	"extremozym"
"extrorse"	"hướng ra ngoài, quay ra ngoài"
"extrovert"	"vòi hút lộ"
"exudation pressure"	"áp lực tiết dịch"
"exumbrella"	"mặt ngoài tán, mặt ngoài dù"
"exumbrellar"	"(thuộc) mặt ngoài tán, mặt ngoài dù"
"exuviae"	"xác (lột), vỏ (bong)"
"exuvial"	"(thuộc) lột xác, bong vỏ"
"eye"	"mắt"
"eyepiece graticule"	"lưới thị kính"
"eye spot"	"đốm mắt"
"eye stalk"	"cuống mắt"
"F(ab,)2 fragment"	"mảnh Fab (ab,)2"
"F1  hybrid"	"con lai F1, dạng lai F1"
"Fab fragment"	"đoạn Fab"
"Fabaceae"	"họ Đậu"
"Face development"	"phát triển bề mặt"
"facet"	"mắt con, mắt đơn vị"
"facet"	"mặt khớp tròn, mặt khớp nhẵn"
"facial"	"(thuộc) mặt"
"facicle"	"bó, bó  mạch"
"fascicular camblum"	"tượng tầng bó"
"facilitated diffusion"	"khuếch tán tăng cường"
"facilitation"	"(sự) tạo thuận lợi, khai thông"
"facilitation succession"	"diễn thế khai thông"
"facilitated folding"	"cuộn gập dễ dàng"
"FACS"	"viết tắt của Fluorescence Activated Cell Sorter"
"factor analysis"	"phân tích nhân tố, phân tích yếu tố"
"factor B, factor D"	"yếu tố B, yếu tố D"
"factor IX"	"yếu tố IX"
"factor VIII"	"yếu tố VIII (làm đông máu)"
"facultative"	"tuỳ ý, không bắt buộc"
"faculative anaerobe"	"sinh vật kỵ khí không bắt buộc"
"facultative cells"	"(các) tế bào không bắt buộc"
"facultative heterochromatin"	"chất dị nhiễm sắc không cố định"
"facultative mutualism"	"tương hỗ tuỳ ý"
"facutiative parasite"	"vật ký sinh không bắt buộc"
"FAD"	"viết tắt của Flavin Adenine Dinucleotide"
"fad genes"	"(các) gen fad"
"fad3 gene"	"gen fad3"
"faeces"	"phân"
"Fagaceae"	"họ Dẻ"
"faix cerebri"	"liềm não"
"faint"	"sự ngất, ngất"
"fairy ring"	"vành tiên nữ"
"falcate"	"(có) dạng liềm"
"falciform"	"(có) dạng liềm"
"falciform ligament"	"dây chằng dạng liềm"
"falcula"	"vuốt dạng liềm"
"falculate"	"(có) vuốt dạng liềm"
"Fallopian tube"	"ống Fallop"
"fallout"	"mưa  phóng  xạ"
"false amnion"	"màng ối giả"
"false annual ring"	"vòng năm giả"
"false fruit"	"quả giả"
"false pregnancy"	"chửa giả"
"false ribs"	"xương sườn giả"
"false scorpions"	"bộ Bọ cạp giả"
"false septum"	"vách giả"
"false tissue"	"mô giả"
"falx"	"thể liềm"
"FAME"	"viết tắt của Fatty Acid Methyl Esters"
"family"	"họ"
"family therapy"	"liệu pháp gia đình"
"Fanconi’s anaemia"	"(chứng) thiếu máu Fanconi"
"fang"	"Răng độc 2 răng nanh"
"fantasy"	"(sự) tưởng tượng"
"farinose"	"(được) p hủ bột ,  phủ phấn"
"far.tier""s"	"lung bệnh phổi nông dân"
"fanal region"	"vùng phân bố động vật"
"faveolate"	"(có) dạng tổ ong"
"FAO"	"viết tắt của UN Food and Agriculture Organization"
"far neurons"	"thần kinh ngoại biên"
"far-red light"	"ánh sáng hồng ngoại"
"fascia"	"cân"
"fasciation"	"(sự) kết bó, hình thành bó"
"farmland"	"đất trồng"
"farnesoid X receptor (FXR)"	"thụ quan farnesoid X"
"farnesyl transferase"	"transferaza farnesyl"
"fasciculus"	"bó"
"fasciola"	"dải màu hẹp, vân màu hẹp"
"Fasciola hepatica"	"sán lá gan Fasciola hepatica"
"fastigiate"	"(có) dạng chóp"
"fastigial nucleus"	"nhân bụng"
"fat"	"mỡ"
"fat map"	"bản đồ số phận"
"fat-solute vitamins"	"vitamin tan trong mỡ"
"fatigue"	"(có) dạng chóp"
"fatty acids"	"axit béo"
"fatty acid binding protein"	"protein bám axit béo"
"fatty acid methyl esters"	"este methyl axit béo"
"fatty acid synthetase"	"synthetaza axit béo"
"fauna"	"giới động vật, khu hệ động vật"
"faunae"	"(các) giới động vật,  khu hệ động vật"
"faunal"	"(thuộc) khu hệ độngvật, giới động vật"
"faunas"	"(các) giới động vật,  khu hệ động vật"
"favose"	"(có) dạng tổ ong"
"Fc receptor"	"thụ thể Fc"
"F-box proteins"	"protein hộp F"
"FC"	"viết tắt của flow cytometry"
"Fc fragment"	"mảnh Fc"
"FDA"	"viết tắt của Food and Drug Administration"
"feathers"	"(sự) sợ hãi"
"febrifuge"	"lông chim"
"febrile"	"thuốc sốt"
"fecundity"	"sức sinh sản"
"feeding"	"(sự) cho ăn, nuôi"
"feedback inhibition"	"ức chế ngược, kìm hãm ngược"
"federal coordinated framework for regulation of biotechnology"	"mạng lưới liên bang điều hành quy chế công nghệ sinh học"
"federal insecticide fungicide and rodenticide act (FIFRA)"	"đạo luật liên bang (về) diệt động vật gậm nhấm, diệt nấm và diệt sâu bọ"
"feedback inhibition"	"ức chế ngược, ức chế trở lại"
"feedstock"	"nguyên liệu (để) chế biến"
"female"	"1 giống cái 2 cây cái 3 vật cái 4 hoa cái"
"female pronucleus"	"tiền nhân cái, nhân nguyên cái"
"femoral"	"(thuộc) thuộc đốt đùi"
"femur"	"đốt đùi"
"fen"	"đầm lầy thấp"
"fenestra"	"lỗ mở, cửa sổ"
"fenestra ovalis"	"cửa sổ bầu dục, cửa sổ tiền đình"
"fenestra pro-otlca"	"lỗ trước tai"
"fenestra rotunda"	"cửa sổ tròn"
"fenestrate"	"(có) cửa sổ"
"fenestrated"	"(có) cửa sổ"
"fenestrations"	"sự đục lỗ, sự thủng lỗ"
"fenestra tympani"	"lỗ tai giữa, cửa sổ tai giữa"
"fenestra vestibuli"	"cửa sổ tiền đình"
"feral"	"hoang dã"
"fermentation"	"(sự) lên men"
"ferns"	"nhóm dương xỉ"
"ferritin"	"feritin"
"ferrobacteria"	"vi khuẩn ăn sắt"
"ferrochelatase"	"ferrochelataza"
"ferrodoxin"	"ferrodoxin"
"fertile"	"hữu thụ"
"fertile flower"	"hoa hữu thụ"
"fertilisin"	"fertilisin"
"fertility"	"độ mắn đẻ, độ hữu thụ, độ phì nhiêu"
"fertility factor (F)"	"nhân tố hữu thụ, nhân tố giới tính (ở vi khuẩn)"
"fertilization"	"(sự) thụ tinh, thụ phấn"
"fertilization cone"	"mấu thụ tinh"
"fertilization membrane"	"màng thụ tinh"
"fertilization potential"	"điện thế thụ tinh"
"fertilizers"	"phân bón"
"fetishism"	"(chứng) loạn dâm đồ vật"
"fetus"	"bào thai, thai"
"fever"	"sốt"
"FFA"	"viết tắt của Free Fatty Acids"
"FGF"	"viết tắt của Fibroblast Growth Factor"
"FGMP"	"viết tắt của Food Good Manufacturing Practice"
"FHB"	"viết tắt của Fusarium Head Blight"
"FIA"	"viết tắt của  Fluorescence ImmunoAssay"
"fibre"	"sợi, thớ, rễ con, rễ tơ"
"fibre tracheid"	"tế bào ống sợi, quản bào"
"fibrilla"	"sợi nhỏ"
"fibrillar"	"(thuộc) sợi nhỏ"
"fibrillar flight muscle"	"sợi cơ sáng"
"fibrillate"	"(thuộc) sợi nhỏ"
"fibrin"	"tơ máu, tơ huyết, fibrin"
"fibrinogen"	"fibrinogen , chất tạo máu tơ huyết, chất tạo tơ máu"
"fibrinolytic agents"	"(các) tác nhân phân giải sợi huyết"
"fibroblasts"	"(các) nguyên bào sợi"
"fibroblast growth factor (fgf)"	"nhân tố sinh trưởng nguyên bào sợi"
"fibrocartilage"	"sụn sợi, sụn liên kết"
"fibronectins"	"fibronectin"
"fibrosis"	"sợi hoá sơi"
"fibrous connective tissue"	"mô liên kết sợi"
"fibrous layer"	"lớp sợi"
"fibrous roote system"	"hệ rễ sợi"
"fibrous tissue"	"mô sợi"
"fibrovascular bundle"	"bó mạch sợi"
"fibula"	"xương mác"
"fibulare"	"xương gót"
"Fick ‘s law of diffusion"	"định luật khuếch tán Fick"
"Fick principle"	"nguyên lí Fick"
"ficoll hypaque"	"(hỗn hợp) Ficoll hypaque"
"fidelity"	"độ tin cậy, độ trung thực"
"field capacity"	"sức chứa ẩm đồng ruộng"
"field resistance"	"sức đề kháng đồng ruộng, sức đề kháng của một vùng"
"field inversion gel electrophoresis"	"điện di trên gel đảo ngược trường"
"field succession"	"diễn thế tự nhiên"
"FIFRA"	"viết tắt của Federal Insecticide Fungicide and Rodenticide Act"
"FIGE"	"viết tắt của Field Inversion Gel Electrophoresis"
"fight"	"phản ứng sáng"
"filament"	"sợi"
"filar micrometer"	"vi kế sợi, pame soi"
"Filicales"	"bộ Dương xỉ"
"Filicopsida"	"lớp Dương xỉ"
"filiform"	"(có) dạng chỉ"
"filiform papillae"	"núm dạng chỉ"
"filler epithelial cells"	"tế bào biểu bì hàn gắn, tế bào biểu bì lấp chỗ trống"
"film badge"	"huy hiệu phim ảnh"
"filoplumes"	"lông ống, lông sợi"
"filoplume feather"	"lông ống"
"filopodia"	"chân giả"
"filopodium"	"chân giả dạng sợi, chân sợi"
"filter feeders"	"sinh vật ăn lọc"
"filtration"	"sự lọc"
"fimbria"	"diềm, tua viền"
"fimbriate"	"(có) diềm,  tua viền"
"fimicolous"	"ở phân"
"fin"	"vây"
"fin rays"	"tia vây"
"finger proteins"	"protein ngón tay"
"fingerprint"	"dấu vân tay"
"fingerprinting"	"xác định dấu vân tay"
"FIONA"	"viết tắt của Fluorescence Imaging with One Nanometer Accuracy"
"fire"	"lửa, cháy, đốt cháy"
"firefly"	"(con) đom đóm"
"firefly luciferase-luciferin system"	"hệ thống luciferaza-luciferin của đom đóm"
"first filial hybrids"	"(các) con lai đầu tiên, dạng lai đầu tiên"
"first law of thermodynamics"	"định luật nhiệt động thứ nhất"
"first ventricle"	"não thất thứ nhất"
"FISH"	"viết tắt của Fluorescence In Situ Hybridization"
"fish"	"cá"
"fish scales"	"vẩy cá"
"fission"	"(sự) phân đôi, tách đôi"
"fishing"	"(sự) đánh cá, câu cá, nghề cá"
"fission of protozoa"	"sự phân đôi ở động vật nguyên sinh"
"fissionable isotope"	"chất đồng vị phân hạt nhân"
"fissure"	"vết nứt, khe nứt, rãnh"
"fissiped"	"(có) chân chẻ,  ngón tách rời"
"fitness"	"(tính) thích nghi"
"fitness"	"(tính) phù hợp, thích ứng"
"fixation"	"(sự) ngừng phát triển trí nhớ óc"
"fixation reflex"	"phản xạ cố định"
"fixed action pattern"	"kiểu chuyển động rập khuân"
"fixed interval schedule"	"chế độ cách quãng cố định"
"fixed quotas"	"Cota xác định"
"fixed ratio schedule"	"chế độ tỷ số cố định"
"flabellate"	"(có) dạng quạt"
"flabelliform"	"(có) dạng quạt"
"flaccid"	"nhẽo, mềm, nhũn"
"flagella"	"lông, roi"
"flagellar root"	"gốc lông roi"
"Flagellata"	"lớp Trùng tiêm mao"
"flagellate"	"1 (có) lông roi 2 trùng tiêm mao 3 (có) dạng sợi"
"flagellin"	"flagellin"
"flagellum"	"lông roi"
"flag leaf"	"lá (dạng) cờ"
"flame cell"	"tế bào ngọn lửa"
"flame-cell system"	"hệ thống tế bào hình ngọn lửa"
"flanking sequence"	"trình tự chặn (2 đầu đoạn ADN)"
"flash colours"	"nhớ ấn tượng mạnh"
"flat neurons"	"thần kinh dẹt"
"flavescent"	"vàng nhạt, ngả màu vàng nhạt"
"flavin"	"flavin"
"flavin adenine dinucleotide"	"dinucleotid adenin flavin"
"flavin mononucleotide"	"mononucleotid flavin"
"flavin nucleotides"	"nucleotid flavin"
"flavine adenine dinucleotide"	"flavin adenin dinucleotid"
"flavin-linked dehydrogenases"	"dehydrogenaza liên kết flavin"
"flavinoids"	"flavinoid"
"flavones"	"flavon"
"flavonoids"	"flavonoid"
"flavonols"	"flavonol"
"flavoproteins"	"flavoprotein"
"fleece wool"	"lông len"
"flesh-eating infection"	"nhiễm (chứng) ăn thịt"
"flexor"	"cơ gấp"
"flexuose"	"gấp khúc, hình chữ chi, uốn cong, lượn sóng"
"flexuous"	"gấp khúc, hình chữ chi, uốn cong, lượn sóng"
"flightless birds"	"chim không bay"
"flk-2 receptors"	"thụ quan flk-2"
"floating ribs"	"xương sườn cụt"
"flocculation"	"(sự) kết bông, lên bông"
"flocculus"	"nhung mao, túm lông cuối"
"floccus"	"1 bộ lông tơ 2 túm lông đuôi 3 túm lông"
"flock"	"bầy, đàn, tốp"
"flooding"	"(sự) tràn ngập, nhấn chìm"
"floor plate"	"đĩa gốc"
"flora"	"1 khu hệ thực vât 2 thực vật chí"
"flora evocation"	"kích thích ra hoa"
"floral diagram"	"sơ đồ hoa"
"floral envelope"	"bao hoa chung"
"floral formula"	"mẫu hoa, công thức hoa, hoa thức"
"floral leaf"	"lá hoa"
"floral mechanism"	"cơ chế hoa"
"flore pleno"	"hoa đôi"
"floret"	"hoa con, hoa nhỏ"
"florigen"	"hormon thúc nở"
"floury-2"	"gen floury-2 (tăng hàm lượng methionine và tryptophan)"
"flow cytometry"	"phép đo đếm tế bào theo dòng chảy"
"flower"	"hoa"
"flower abortion"	"rụng hoa"
"flower development"	"sự phát triển của hoa"
"floweríng"	"(sự) nở hoa, ra hoa"
"flow-sorted chromosomes"	"nhiễm sắc thể được phân dòng"
"fluctuation of population"	"biến động của quần thể"
"fluid energy"	"dòng năng lượng"
"fluid feeder"	"động vật ăn chất dịch (ký sinh)"
"fluid feeding"	"ăn dịch lỏng"
"fluid mosaic"	"khảm lỏng"
"fluid mosaic model"	"mô hình khảm lỏng"
"fluke"	"sán lá"
"fluke"	"đuôi cá voi"
"fluorescein isothiocyanate"	"isothioxyanat floresxein"
"fluorescence"	"(sự) phát huỳnh quang"
"fluorescence activated cell sorter"	"máy (hoặc tác nhân) sàng lọc tế bào hoạt hoá huỳnh quang"
"fluorescence imaging with one nanometer accuracy"	"hiện hình huỳnh quang với độ chính xác một nanomet"
"fluorescence Immunoassay"	"xét nghiệm miễn dịch bằng huỳnh quang"
"fluorescence in situ hybridization"	"lai in situ huỳnh quang"
"fluorescence mapping"	"lập bản đồ bằng huỳnh quang"
"fluorescence microscopy"	"soi hiển vi huỳnh quang"
"fluorescence multiplexing"	"phân thành phần (bằng) huỳnh quang"
"fluorescence polarization (FP)"	"phân cực huỳnh quang"
"fluorescence resonance energy transfer (FRET)"	"sự chuyển năng lượng cộng hưởng huỳnh quang"
"fluorescent real-time PCR"	"PCR thời gian thật huỳnh quang"
"fluorimeter"	"huỳnh quang kế"
"fluorogenic probe"	"mẫu dò phát huỳnh quang"
"fluorography"	"(phép) chụp ảnh huỳnh quang"
"fluoroscope"	"kính hiển vi huỳnh quang"
"fluorophore"	"phân tử mang huỳnh quang"
"flush"	"đầm lầy cạn"
"flush ends"	"(các) đầu bằng , xem blunt ends"
"fluvial"	"(thuộc) sông"
"fluviatile"	"(thuộc) sông"
"fluviomarine"	"(thuộc) sông-biển"
"fluvioterrestrial"	"(thuộc) vùng ven sông, sông- đất liền"
"fluxes"	"dòng , luồng"
"flying-spot microscope"	"kính hiển vi đốm quét"
"FMN"	"viết tắt của Flavin MonoNucleotide"
"foetal"	"(thuộc) thai, phôi"
"foetal membranes"	"màng phôi"
"foetus"	"thai, phôi"
"foldback DNA"	"AND gập lại"
"foldback DNA"	"ADN cuộn ngược"
"folding of polypeptides"	"nếp uốn của chuỗi polypeptit"
"follaceous"	"(Có) dạng lá"
"follaceous"	"(Có) lá"
"follar feeding"	"nuôi theo đường lá"
"foliate papillae"	"núm dạng lá"
"foliar gap"	"hốc lá"
"foliar trace"	"vết lá"
"foliose"	"(có) dạng lá"
"foliose"	"(có) bao lá"
"follicle"	"nang"
"follicle"	"bao, túi"
"follicle cells"	"tế bào nang"
"follicle of vertebrate ovary"	"nang trứng của động vật có xương"
"follicle stimulating hormone (FSH)"	"hormon kích thích nang"
"follicle-stimulating hormone"	"hormon kích bao trứng"
"follicular development"	"phát triển tế bào nang"
"follicular phase"	"pha rụng trứng"
"following response"	"phản ứng theo dõi"
"fontanelle"	"thóp"
"food"	"thức ăn"
"food and drug administration (FDA)"	"vụ thuốc và thực phẩm (Mỹ)"
"food allergy"	"dị ứng thức ăn"
"food body"	"thể thức ăn"
"food chain"	"chuỗi thữc ăn, mắt xích thức ăn"
"food density"	"mật độ thức ăn"
"food good manufacturing practice (FGMP)"	"thực tế sản xuất tốt thực phẩm"
"food groove"	"rãnh thức ăn"
"food preferences"	"thức ăn ưa thích"
"footprinting"	"in dấu chân (tìm trình tự ADN chính xác cho protein bám)"
"food pollen"	"hạt phấn thức ăn"
"food supply"	"cung cấp thức ăn"
"food vacuole"	"không bào dinh dưỡng, không bào tiêu hoá"
"food webs"	"mạng  lưới  thức  ăn"
"foot"	"chân, bàn chân"
"foot"	"đế, gốc"
"foot rot"	"thối gốc"
"foraging"	"kiếm ăn"
"foraging approach"	"tiếp cận thức ăn"
"foraging behavior"	"tập tính ăn cỏ, xén cỏ"
"foraging theory"	"lý thuyết thức ăn"
"foramen"	"lỗ"
"foramen lacerum"	"rách trước"
"foramen magnum"	"lỗ xương cát"
"foramen triosseum"	"lỗ giữa ba xương"
"Foraminifera"	"bộ Trùng lỗ"
"forb"	"cây thảo"
"forbidden clone"	"clone cấm"
"forceps"	"kẹp, cặp"
"fore-arm"	"cẳng tay, cẳng chi trước"
"fore brain"	"não trước"
"fore-gut"	"ruột trước"
"fore-kidney"	"tiền thận"
"forest"	"rừng"
"forfex"	"kìm"
"form genus"	"giống hình thái"
"form taxon"	"cấp phân loại hình thái"
"formaldehyde dehydrogenase"	"dehydrogenaza formaldehyd"
"formal operations"	"hoạt động chính thức"
"formol toxoid"	"độc tố giảm lực focmol"
"fornix"	"cấu trúc bó sợi"
"Forssman antigen, antibody"	"kháng nguyên Forssman, kháng thể Forssman"
"forward mutation"	"đột biến thuận"
"FOS"	"viết tắt của Fructose Oligosaccharides"
"FOSHU"	"Chỉ thị của chính phủ Nhật Bản về thực phẩm dùng cho sức khoẻ"
"fossa"	"hố, hốc, hõm, ổ"
"fossa rhomboidalls"	"hố trán não"
"fossette"	"hố nhỏ"
"fossil"	"(vật) hoá thạch"
"fossil fuels"	"chất đốt hoá thạch"
"fossil record"	"vật mẫu hoá thạch"
"fossorial"	"thích nghi đào bới"
"founder effect"	"hiệu ứng Founder, hiệu ứng kẻ sáng lập"
"fourth ventricle"	"não thất IV"
"fovea"	"hố nhỏ, vết hõm"
"fovea centralis"	"hố trung tâm, võng mạc"
"foveate"	"(có) hốc nhỏ,  vết lõm"
"foveola"	"hố nhỏ, vết hõm"
"foveolar"	"(có) hốc nhỏ,  vết lõm"
"foveolate"	"(có) hốc nhỏ,  vết lõm"
"FP"	"viết tắt của Fluorescence Polarization"
"fraction 1 protein"	"tiểu phần protein"
"fractionation"	"(sự) phân đoạn, phân liều"
"fragility"	"mỏng manh"
"fraglle-X syndrome"	"hội chứng dễ gãy nhiễm sắc thể X"
"fragmentation"	"(sự) phân mảnh"
"fragmeshift mutation"	"đột biến chuyển đoạn"
"frameshift"	"dịch khung (khi đọc mã di truyền)"
"frass"	"cứt ấu trùng"
"fraternal twins"	"cặp sinh đôi khác trứng, cặp sinh đôi anh-em, cặp sinh đôi giả"
"free energy"	"năng lượng tự do"
"free fatty acids"	"axit béo tự do"
"free radical"	"gốc tự do"
"free recall"	"mất tự do, trở nên (bị) ràng buộc"
"free space"	"không gian tự do"
"free association"	"(sự) hiệp hội tự do"
"free cell formation"	"(sự) tạo thành tế bào tự do"
"free central placentation"	"kiểu đính noãn giữa tự do"
"free distribution"	"phân bố tự do, phân bố lý tưởng"
"free energy"	"năng lượng tự do"
"free energy of activation"	"năng lượng tự do để hoạt hoá"
"free floating anxiety"	"(chứng) lo lắng không cố định"
"free-air dose"	"liều lượng trong không khí tự do"
"freeze etch"	"khắc mòn kết đông"
"freeze fracture"	"làm gãy kết đông"
"freeze substitution"	"thay thế kết đông"
"freeze-drying"	"đông-khô, sấy thăng hoa"
"freemartin"	"vật song sinh lưỡng tính"
"frequency"	"tấn số, tần suất"
"frequency-dependent selection"	"chọn lọc phụ thuộc tần số"
"frequency distribution"	"phân bố tần suất"
"frequency table"	"bảng tần suất, biểu tần suất"
"freshwater lakes"	"hồ nước ngọt"
"FRET"	"viết tắt của Fluorescence Resonance Energy Transfer"
"Freudian slip"	"lỡ lời Freud"
"Freud’s theory of dreams"	"thuyết giấc mơ của Freud"
"Freund’s adjuvant"	"tá chất Freud"
"frond"	"lá, tản"
"frons"	"trán"
"frontal"	"xương trán"
"frontal"	"(thuộc) trán"
"frontal lobes"	"thuỳ trán"
"frontal plane"	"mặt trước trán, mặt trán"
"frontal sinuses"	"xoang trán"
"frost"	"sương giá"
"fructan"	"fructan"
"fructification"	"tạo quả thể"
"fructooligosaccharides"	"fructooligosaccharid"
"fructose oligosaccharides"	"oligosaccharid fructoza"
"frugivorous"	"ăn quả"
"fruit"	"quả"
"fruit body"	"thể quả"
"fruiting body"	"thể quả"
"frustration"	"(sự) thất vọng 2. ấm ức, hụt hẫng"
"frustule"	"vỏ tảo cát"
"frutescent"	"(có) cây bụi"
"frutescent"	"(có) dạng cây bụi"
"fruticose"	"(có) cây bụi"
"F-scale"	"thang F"
"FSH"	"viết tắt của Follicle Stimulating Hormone"
"fucivorous"	"ăn tảo biển"
"fucoxanthin"	"fucoxantin"
"function group"	"nhóm chức"
"functional"	"(thuộc) chức năng"
"functional psychosis"	"(chứng) loạn tinh thần chức năng"
"functional responses"	"(các) đáp ứng chức năng"
"fundamental niche"	"ổ (sinh thái)cơ bản"
"fundamential niche"	"ổ sinh thái cơ bản"
"fungicide"	"chất diệt nấm"
"fungal growth"	"sinh trưởng nấm"
"fungal species"	"loài nấm"
"fungi"	"nấm"
"fungal xellulose"	"xenlulosa nấm"
"fungiform papillae"	"núm dạng nấm"
"Fungi Imperfecti"	"phân ngành nấm bất toàn"
"fungistatic"	"(thuộc) kháng nấm, hãm nấm"
"funicle"	"cuống"
"funicular"	"(thuộc) dải nhỏ, dây nhỏ, thừng, cột"
"funiculus"	"dải nhỏ, dây nhỏ, thừng, cột"
"funnel"	"phễu"
"fugitive species"	"loài nhất thời"
"fugue"	"(cơn) vắng ý thức"
"fuliginous"	"ám khói, đen bồ hóng"
"fumigation"	"(sự) sông,  hun"
"fum"	"viết tắt của fumarase"
"fumarase (fum)"	"fumaraza"
"fumaric acid"	"axit fumaric"
"fumonisins"	"fumonisin"
"function"	"chức năng"
"functional foods"	"thực phẩm chức năng"
"functional genomics"	"hệ gen học chức năng"
"functional group"	"nhóm chức năng"
"functional protein microarrays"	"vi dàn protein chức năng"
"fungicide"	"diệt nấm"
"fungus"	"nấm"
"fur"	"bộ lông mao"
"furanocoumarins"	"furanocoumarin"
"furanose"	"furanoza"
"furca"	"chạc, mấu chạc"
"furcula"	"mấu chạc nhỏ"
"furcula"	"xương chạc"
"furocoumarins"	"furocoumarin"
"furrowing"	"(sự) phân cắt"
"fusaric acids"	"axit fusaric"
"Fusarium"	"Fusarium"
"Fusarium graminearum"	"Fusarium graminearum"
"Fusarium head blight"	"bệnh đầu lụi do Fusarium"
"Fusarium moniliforme"	"Fusarium moniliforme"
"fusiform"	"(có) dạng thoi"
"fusiform initials"	"tế bào khởi sinh thoi"
"fusion"	"(sự) nấu chảy, hoà lẫn, dung hợp"
"fusion genes"	"gen dung hợp"
"fusion inhibitors"	"chất ức chế dung hợp"
"fusion protein"	"protein  dung  hợp"
"fusion toxin"	"độc tố dung hợp"
"fusogenic agent"	"tác nhân dung hợp gen"
"futile cycle"	"chu trình kém hiệu quả, chu trình vô ích"
"FXR"	"viết tắt của Farnesoid X Receptor"
"G-"	"viết tắt của Gram-Negative"
"G proteins"	"viết tắt của Guanyl-Nucleotide Binding Proteins"
"G+"	"viết tắt của Gram-Positive"
"Gaciltormes"	"bộ cá tuyết"
"GA21"	"gen GA21 (một gen chịu thuốc diệt cỏ)"
"GAD"	"viết tắt của Glutamic Acid Decarboxylase"
"Gain-of-fuction alleles"	"alen cộng gộp"
"gait"	"dáng đi, điệu bộ"
"gal"	"viết tắt của galactose"
"galeate"	"(có) tạo mũ"
"galeiform"	"(có) dạng mũ"
"gall"	"nốt"
"Gala"	"thuyết Gaia"
"galactobolic"	"(có) tác dụng tiết sữa, galatobolic"
"galactomannan"	"galactomannan"
"galactophorous"	"(chứa) sữa"
"galactopolesis"	"(sự) tạo sữa"
"galactose"	"galatoza"
"galactosis"	"(sự) tạo sữa, sinh sữa, tiết sữa"
"gal4"	"gen gal4 (hoạt hoá phiên mã trong hệ thống hai con lai ở nấm men)"
"Galapagos island"	"đảo galapago"
"gall"	"hạch, nốt sần"
"gallbladder"	"túi mật"
"gallstones"	"sỏi mật"
"Galliformes"	"bộ Gà"
"GalNAc"	"viết tắt của N-acetyl-D-galactosamine"
"GALT"	"viết tắt của Gut-Associated Lymphoid Tissues"
"galvanic skin response"	"phản ứng ga ganvanic, phản ứng da điện"
"galvanotaxis"	"(tính) theo điện, ứng điện"
"galvanotropism"	"(tính) theo điện, ứng điện, hướng điện"
"gametal"	"(thuộc) giao tử"
"gametangium"	"túi giao tử, bọc giao tử"
"gamete"	"giao tử"
"gametes"	"giao tử, tế bào sinh dục"
"gametogenesis"	"(sự) hình thành giao tử"
"gametogeny"	"tế bào mẹ giao tử"
"gametophore"	"cuống túi giao tử"
"gametophyte"	"thể giao tử"
"gamma camera"	"camera gamma"
"gamma detector"	"máy dò dùng tia gamma"
"gamma globulin"	"globulin gamma"
"gamma interferon"	"interferon gamma"
"gamma motor neurons"	"neuron vận động gamma"
"gamma-ray source"	"nguồn tia gamma"
"gamocyte"	"bào hợp"
"gamone"	"kích tố giao tử, gamon"
"gamopetalous"	"(có) cánh tràng hợp,  cánh tràng liền"
"gamophyllous"	"(có) lá liền"
"ganglia"	"(các) hạch"
"ganglion"	"hạch"
"ganglion cells"	"tế bào hạch"
"ganglion impar"	"hạch (thần kinh) lẻ, hạch cụt"
"ganglioside"	"gangliosit"
"ganoid"	"láng bóng, (có) ganoid"
"ganoin"	"vảy láng"
"ganoin"	"độ mở"
"ganold scale"	"ganoin"
"gap"	"khe hở"
"gap gene"	"gen (có) khe hở"
"gas exchange"	"trao đổi khí"
"gap junction"	"chỗ nối khe hở"
"gaseous"	"(có) khí, trao đổi"
"gas gland"	"tuyến khí, tuyến hơi"
"Gasserian ganglion"	"hạch Gasser"
"gaster"	"dạ dày"
"Gasteromycetes"	"lớp Nấm bụng"
"Gasteropoda"	"lớp chân bụng"
"gas transport"	"vận chuyển khí"
"gastric"	"(thuộc) dạ dày, vị, vụng dạ dày"
"gastric juice"	"dịch vị"
"gastric inhibitory peptide"	"chuỗi peptit ức chế dịch vị"
"gastric secretions"	"sự tiết dịch vị"
"gastrin"	"gastrin"
"gastrocnemius"	"cơ dép, cơ bắp chân"
"gastrocoele"	"khoang vị, khoang dạ dày"
