"en","vi","description"
"hydrophilicity","tính dính ướt","ˌhaɪdrəˈfɪlɪsɪti"
"hydrophobic","có tính không dính ướt","ˌhaɪdrəˈfoʊbɪk"
"hydrophobicity","tính không dính ướt","ˌhaɪdrəˈfoʊbɪsɪti"
"capillary","tính mao dẫn","ˈkæpəˌlɛri"
"capillary","ống mao dẫn","ˈkæpəˌlɛri"
"surface tension","lực căng mặt ngoài","ˈsɜrfɪs ˈtɛnʃən"
"coefficient of surface tension","hệ số căng mặt ngoài","ˌkoʊəˈfɪʃənt əv ˈsɜrfɪs ˈtɛnʃən"
"diffuse","khuếch tán","dɪˈfjus"
"diffusion","sự khuếch tán","dɪˈfjuʒən"
"crystal","tinh thể","ˈkrɪstəl"
"lattice","mạng tinh thể","ˈlætɪs"
"crystalline solid","chất rắn kết tinh","ˈkrɪstəˌlaɪn ˈsɑlɪd"
"amorphous solid","chất rắn vô định hình","əˈmɔrfəs ˈsɑlɪd"
"thermocouple","cặp nhiệt điện","ˌθɜrmoʊˈkʌpəl"
"electricity","điện học","ɪˌlɛkˈtrɪsɪti"
"electrostatics","tĩnh điện học","ɪˌlɛktroʊˈstætɪks"
"electrostatic","(thuộc về) tĩnh điện học","ɪˌlɛktroʊˈstætɪk"
"(electric) charge","điện tích","(ɪˈlɛktrɪk) ʧɑrʤ"
"point charge","điện tích điểm","pɔɪnt ʧɑrʤ"
"charge","tích điện","ʧɑrʤ"
"discharge","phóng điện","dɪsˈʧɑrʤ"
"discharge","sự phóng điện","dɪsˈʧɑrʤ"
"corona discharge","sự phóng điện hoa","kəˈroʊnə dɪsˈʧɑrʤ"
"spark","tia lửa điện","spɑrk"
"charging by contact","sự nhiễm điện do tiếp xúc","ˈʧɑrʤɪŋ baɪ ˈkɑnˌtækt"
"charging by rubbing","sự nhiễm điện do cọ xát","ˈʧɑrʤɪŋ baɪ ˈrʌbɪŋ"
"charging by induction","sự nhiễm điện do hưởng ứng","ˈʧɑrʤɪŋ baɪ ɪnˈdʌkʃən"
"electrostatic induction","sự hưởng ứng tĩnh điện","ɪˌlɛktroʊˈstætɪk ɪnˈdʌkʃən"
"positively charged","nhiễm điện dương","ˈpɑzətɪvli ʧɑrʤd"
"negatively charged","nhiễm điện âm","ˈnɛgətɪvli ʧɑrʤd"
"neutral","trung hòa về điện","ˈnutrəl"
"neutralize","làm cho trung hòa về điện","ˈnutrəˌlaɪz"
"grounded/earthed","được nối đất","ˈgraʊndɪd, ɜrθt"
"conductor","vật dẫn điện","kənˈdʌktər"
"insulator","vật cách điện","ˈɪnsəˌleɪtər"
"test charge","điện tích thử","tɛst ʧɑrʤ"
"electroscope","điện nghiệm","ɪˈlɛktroʊˌskoʊp"
"electric force","lực điện","ɪˈlɛktrɪk fɔrs"
"repulsive force","lực đẩy","riˈpʌlsɪv fɔrs"
"attractive force","lực hút","əˈtræktɪv fɔrs"
"electric constant","hằng số điện (k = 8.99x10^9 N.m^2/C^2)","ɪˈlɛktrɪk ˈkɑnstənt"
"dielectric","chất điện môi","daiˈlɛktrɪk"
"dielectric constant","hằng số điện môi"," daiˈlɛktrɪk ˈkɑnstənt"
"conservation of charge","sự bảo toàn điện tích","ˌkɑnsərˈveɪʃən əv ʧɑrʤ"
"electric field","điện trường","ɪˈlɛktrɪk fild"
"line of force","đường sức","laɪn əv fɔrs"
"electric field line","đường sức điện","ɪˈlɛktrɪk fild laɪn"
"electric field strength","cường độ điện trường","ɪˈlɛktrɪk fild strɛŋkθ"
"uniform electric field","điện trường đều","ˈjunəˌfɔrm ɪˈlɛktrɪk fild"
"superposition principle","nguyên lý chồng chất","ˌsupərpəˈzɪʃən ˈprɪnsəpəl"
"polarization","sự phân cực","ˌpoʊlərəˈzeɪʃən"
"electric dipole","lưỡng cực điện","ɪˈlɛktrɪk ˈdaɪˌpoʊl"
"electric potential","điện thế","ɪˈlɛktrɪk pəˈtɛnʃəl"
"voltage","hiệu điện thế, điện áp","ˈvoʊltɪʤ"
"electric potential energy","thế năng tĩnh điện","ɪˈlɛktrɪk pəˈtɛnʃəl ˈɛnərʤi"
"equipotential line","đường đẳng thế","ˌɪkwɪ pəˈtɛnʃəl laɪn"
"equipotential surface","mặt đẳng thế","ˌɪkwɪ pəˈtɛnʃəl ˈsɜrfɪs"
"Faraday cage","lồng Faraday","ˈfærəˌdeɪ keɪʤ"
"capacitor","tụ điện","kəˈpæsɪtər"
"parallel plate capacitor","tụ điện phẳng","ˈpɛrəˌlɛl pleɪt kəˈpæsɪtər"
"cylindrical capacitor","tụ điện trụ","səˈlɪndrɪkəl kəˈpæsɪtər"
"spherical capacitor","tụ điện cầu","ˈsfɛrɪkəl kəˈpæsɪtər"
"Leyden jar","chai Leyden","ˈlaɪdən ʤɑr"
"in series","mắc nối tiếp","ɪn ˈsɪriz"
"in parallel","mắc song song","ɪn ˈpɛrəˌlɛl"
"capacitance","điện dung","kəˈpæsɪtəns"
"break down voltage","hiệu điện thế đánh thủng","breɪk daʊn ˈvoʊltəʤ"
"electric current","dòng điện","ɪˈlɛktrɪk ˈkɜrənt"
"direct current","dòng điện một chiều","dəˈrɛkt ˈkɜrənt"
"drift velocity","vận tốc trôi","drɪft vəˈlɑsɪti"
"current intensity","cường độ dòng điện","ˈkɜrənt ɪnˈtɛnsɪti"
"resistor","điện trở","rɪˈzɪstər"
"resistance","(đại lượng) điện trở","rɪˈzɪstəns"
"resistivity","điện trở suất","ˌrɪzɪsˈtɪvɪti"
"variable resistor","biến trở","ˈvɛriəbəl rɪˈzɪstər"
"rheostat","biến trở","ˈriəˌstat"
"configuration","cấu hình, cách mắc","kənˌfɪgjəˈreɪʃən"
"resistors in series","điện trở mắc nối tiếp","rɪˈzɪstərz ɪn ˈsɪriz"
"resistors in parallel","điện trở mắc song song","rɪˈzɪstərz ɪn ˈpɛrəˌlɛl"
"volt","vôn (V, đơn vị hiệu điện thế)","voʊlt"
"ampere","ampe (A, đơn vị cường độ dòng điện)","ˈæmˌpir"
"voltmeter","vôn kế","ˈvoʊltˌmiːtɚ"
"ammeter","ampe kế","ˈæˌmiːtɚ"
"galvanometer","điện kế","ˌɡælvəˈnɑmətɚ"
"shunt","điện trở phụ","ˈʃʌnt"
"switch","khóa đóng ngắt điện","ˈswɪtʃ"
"electric source","nguồn điện","ɪˈlɛktrɪk ˈsɔrs"
"cell","pin điện","ˈsɛl"
"battery","bộ pin","ˈbætɚrɪ"
"positive terminal","cực dương","ˈpɑzətɪv ˈtɜrmənəl"
"negative terminal","cực âm","ˈnɛgətɪv ˈtɜrmənəl"
"electromotive force","suất điện động","ɪˌlektrəˌmotiv ˈfɔrs"
"counter electromotive force","suất phản điện","ˈkaʊntər əˌlektrəˌmotiv ˈfɔrs"
"internal resistance","điện trở trong","ɪnˈtɜrnəl rɪˈzɪstəns"
"short circuit","sự đoản mạch","ʃɔrt ˈsɜrkɪt"
"light bulb","bóng đèn","laɪt bʌlb"
"heat dissipation","sự tỏa nhiệt (trên điện trở)","hit ˌdɪsɪˈpeɪʃən"
"electric power","công suất điện","ɪˈlɛktrɪk ˈpaʊər"
"electric circuit","mạch điện","ɪˈlɛktrɪk ˈsɜrkɪt"
"node","nút mạng","noʊd"
"loop","vòng mạng","lup"
"Kirchhoff’s circuit laws","các định luật Kiêcsôp về mạch điện","ˈkɜrkhɔfs ˈsɜrkət lɔz"
"superconductivity","hiện tượng siêu dẫn","ˌsupərˌkɑnˌdʌkˈtɪvɪti"
"superconductor","vật siêu dẫn","ˈsupərkənˌdʌktər"
"electrolysis","hiện tượng điện phân","ɪˌlɛkˈtrɑləsɪs"
"electrolyte","chất điện phân","ɪˈlektrəˌlaɪt"
"electrode","điện cực","ɪˈlɛktroʊd"
"anode","cực dương (anôt)","ˈæˌnoʊd"
"cathode","cực âm (catôt)","ˈkæˌθoʊd"
"electric arc","hồ quang điện","ɪˈlɛktrɪk ɑrk"
"vacuum","chân không","ˈvækjum"
"semiconductor","chất bán dẫn","ˌsɛmikənˈdʌktər"
"n-type semiconductor","bán dẫn loại n","ɛn-taɪp ˌsɛmikənˈdʌktər"
"p-type semiconductor","bán dẫn loại p","pi-taɪp ˌsɛmikənˈdʌktər"
"hole","lỗ trống","hoʊl"
"diode","điôt","ˈdaɪˌoʊd"
"rectify","chỉnh lưu","ˈrɛktɪˌfaɪ"
"rectifier circuit","mạch chỉnh lưu","ˈrɛktɪˌfaɪər ˈsɜrkɪt"
"transistor","tranzito","trænˈzɪstər"
"emittor","cực phát (E)","ɪˈmɪtər"
"collector","cực góp (C)","kəˈlɛktər"
"base","cực đáy (B)","beɪs"
"magnetism","từ học","ˈmægnɪˌtɪzəm"
"magnetostatics","tĩnh từ học","ˈmægnɪtoʊˈstætɪks"
"magnet","nam châm","ˈmægnɪt"
"bar magnet","thanh nam châm","bɑr ˈmægnɪt"
"horseshoe magnet","nam châm móng ngựa","ˈhɔrˌsʃu ˈmægnɪt"
"North (South) pole","cực Bắc (Nam)","nɔrθ (saʊθ) poʊl"
"compass","la bàn","ˈkʌmpəs"
"magnetic field","từ trường","mægˈnɛtɪk fild"
"magnetic field line","đường sức từ","mægˈnɛtɪk fild laɪn"
"magnetic spectrum","từ phổ","mægˈnɛtɪk ˈspɛktrəm"
"permeability","độ từ thẩm","pərmiəˈbɪlɪti"
"declination","độ từ thiên","ˌdekləˈneɪʃən"
"dip","độ từ khuynh","dɪp"
"solenoid","ống dây sôlênôit","ˈsɔləˌnoid"
"coil","cuộn dây","kɔɪl"
"magnetic force","lực từ","mægˈnɛtɪk fɔrs"
"left (right)-hand rule","quy tắc bàn tay trái","lɛft (raɪt)-hænd rul"
"magnetize","từ hóa","ˌmægnɪtaɪz"
"magnetization","sự từ hóa","ˌmægnɪtəˈzeɪʃən"
"magnetic domain","miền từ hóa","mægˈnɛtɪk doʊˈmeɪn"
"paramagnet","chất thuận từ","ˌpærəˈmægnɪt"
"paramagnetic","có tính thuận từ","ˌpærəˌmægˈnɛtɪk"
"diamagnet","chất nghịch từ","ˌdaɪəˈmægnɪt"
"diamagnetic","có tính nghịch từ","ˌdaɪəmægˈnɛtɪk"
"ferromagnet","chất sắt từ","ˌfɛroʊˈmægnɪt"
"ferromagnetic","có tính sắt từ","ˌfɛroʊˌmægˈnɛtɪk"
"magnetic hysteresis","hiện tượng từ trễ","mægˈnɛtɪk ˌhistəˈrəsis"
"induce","kích thích","ɪnˈdus"
"induction","sự cảm ứng","ɪnˈdʌkʃən"
"electromagnetic induction","cảm ứng điện từ","ɪˌlɛktroʊmægˈnɛtɪk ɪnˈdʌkʃən"
"magnetic flux","từ thông","mægˈnɛtɪk flʌks"
"induced electromotive force","suất điện động cảm ứng","ɪnˈdust ɪˌlektrəˌmotiv ˈfɔrs"
"induced current","dòng điện cảm ứng","ɪnˈdust ˈkɜrənt"
"self-induction","hiện tượng tự cảm","sɛlf-ɪnˈdʌkʃən"
"inductance","độ tự cảm","ɪnˈdʌktəns"
"inductor","cuộn cảm","ɪnˈdʌktər"
"eddy current","dòng điện Fucô","ˈɛdi ˈkɜrənt"
"alternating current (a.c.)","dòng điện xoay chiều","ˈɔltərˌneɪtɪŋ ˈkɜrənt (eɪ.si.)"
"instantaneous voltage","hiệu điện thế tức thời","ˌɪnstənˈtæniəs ˈvoʊltɪʤ"
"instantaneous current","dòng điện tức thời","ˌɪnstənˈtæniəs ˈkɜrənt"
"root-mean-square voltage","hiệu điện thế hiệu dụng","rut-min-skwɛr ˈvoʊltɪʤ"
"root-mean-square current","dòng điện hiệu dụng","rut-min-skwɛr ˈkɜrənt"
"voltage amplitude","biên độ hiệu điện thế","ˈvoʊltəʤ ˈæmpləˌtud"
"current amplitude","biên độ dòng điện","ˈkɜrənt ˈæmpləˌtud"
"driving angular frequency","tần số góc của dòng điện xoay chiều","ˈdraɪvɪŋ ˈæŋgjələr ˈfrikwənsi"
"natural angular frequency","tần số dao động riêng","ˈnæʧərəl ˈæŋgjələr ˈfrikwənsi"
"resistive","có tính trở kháng"," rɪˈzɪstɪv"
"resistance","trở kháng","rɪˈzɪstəns"
"inductive","có tính cảm kháng","ɪnˈdʌktɪv"
"inductive reactance","cảm kháng","ɪnˈdʌktɪv riˈæktəns"
"capacitive","có tính dung kháng","kəˈpæsətɪv"
"capacitive reactance","dung kháng","kəˈpæsətɪv riˈæktəns"
"impedance","tổng trở","ɪmˈpidəns"
"series RLC circuit","mạch RLC nối tiếp","ˈsɪriz ɑr-ɛl-si ˈsɜrkɪt"
"phasor","vectơ quay","ˈfeɪzər"
"voltage phasor","vectơ quay biểu diễn hiệu điện thế","ˈvoʊltəʤ ˈfeɪzər"
"current phasor","vectơ quay biểu diễn dòng điện","ˈkɜrənt ˈfeɪzər"
"phasor diagram","giản đồ vectơ quay","ˈfeɪzər ˈdaɪəˌgræm"
"ahead of","sớm pha","əˈhɛd əv"
"behind","trễ pha","bɪˈhaɪnd"
"phase constant","độ lệch pha giữa u và i","feɪz ˈkɑnstənt"
"power factor","hệ số công suất","ˈpaʊər ˈfæktər"
"instantaneous power","công suất tức thời","ˌɪnstənˈtæniəs ˈpaʊər"
"average power","công suất trung bình","ˈævərɪʤ ˈpaʊər"
"transformer","máy biến thế","trænˈsfɔrmər"
"primary (coil)","cuộn sơ cấp","ˈpraɪˌmɛri (kɔɪl)"
"secondary (coil)","cuộn thứ cấp","ˈsɛkənˌdɛri (kɔɪl)"
"electromagnetic oscillation","dao động điện từ","ɪˌlɛktroʊmægˈnɛtɪk ˌɑsəˈleɪʃən"
"electromagnetic wave","sóng điện từ","ɪˌlɛktroʊmægˈnɛtɪk weɪv"
"electromagnetic field","trường điện từ","ɪˌlɛktroʊmægˈnɛtɪk fild"
"electromagnetic radiation","bức xạ điện từ","ɪˌlɛktroʊmægˈnɛtɪk ˌreɪdiˈeɪʃən"
"LC oscillator","mạch dao động LC","ɛl-si ˈɑsəˌleɪtər"
"antenna","ăngten","ænˈtɛnə"
"amplitude modulation (AM)","sự biến điệu biên độ","ˈæmpləˌtud ˌmɑʤəˈleɪʃən (æm)"
"frequency modulation (FM)","sự biến điệu tần số","ˈfrikwənsi ˌmɑʤəˈleɪʃən (ˈɛˈfɛm)"
"very high frequency (VHF)","tần số rất cao","ˈvɛri haɪ ˈfrikwənsi (vi-eɪʧ-ɛf)"
"ultra-high frequency (UHF)","tần số siêu cao","ˈʌltrə-haɪ ˈfrikwənsi (ju-eɪʧ-ɛf)"
"optics","quang học","ˈɑptɪks"
"geometrical optics","quang hình học","ˌʤiəˈmɛtrɪkəl ˈɑptɪks"
"physical optics","quang lý học","ˈfɪzɪkəl ˈɑptɪks"
"quantum optics","quang học lượng tử","ˈkwɑntəm ˈɑptɪks"
"non-linear optics","quang học phi tuyến","nɑn ˈlɪniər ˈɑptɪks"
"light ray","tia sáng","laɪt reɪ"
"light beam","chùm sáng","laɪt bim"
"converge","hội tụ","kənˈvɜrʤ"
"converging","(có tính) hội tụ","kənˈvɜrʤɪŋ"
"diverge","phân kỳ","daɪˈvɜrʤ"
"diverging","(có tính) phân kỳ","daɪˈvɜrʤɪŋ"
"transparent","trong suốt","trænˈspɛrənt"
"opaque","mờ đục","oʊˈpeɪk"
"reflect","phản xạ","rɪˈflɛkt"
"reflection","sự phản xạ","rɪˈflɛkʃən"
"specular reflection","phản xạ gương","ˈspekjulər rɪˈflɛkʃən"
"diffuse reflection","phản xạ khuếch tán","dɪˈfjus rɪˈflɛkʃən"
"refract","khúc xạ","ˌrɪˈfrækt"
"refraction","sự khúc xạ","ˌrɪˈfrækʃən"
"interface","mặt phân cách hai môi trường","ˈɪntərˌfeɪs"
"normal","pháp tuyến","ˈnɔrməl"
"incident ray","tia tới","ˈɪnsɪdənt reɪ"
"reflected ray","tia phản xạ","rɪˈflɛktəd reɪ"
"refracted ray","tia khúc xạ","rɪˈfræktəd reɪ"
"angle of incidence","góc tới","ˈæŋgəl əv ˈɪnsədəns"
"angle of reflection","góc phản xạ","ˈæŋgəl əv rɪˈflɛkʃən"
"angle of refraction","góc khúc xạ","ˈæŋgəl əv ˌrɪˈfrækʃən"
"law of reflection","định luật phản xạ ánh sáng","lɔ əv rɪˈflɛkʃən"
"law of refraction","định luật khúc xạ ánh sáng","lɔ əv ˌrɪˈfrækʃən"
"index of refraction","chiết suất","ˈɪndɛks əv ˌrɪˈfrækʃən"
"refractive index","chiết suất","rɪˈfræktɪv ˈɪndɛks"
"total internal reflection","hiện tượng phản xạ toàn phần","ˈtoʊtəl ɪnˈtɜrnəl rɪˈflɛkʃən"
"critical angle","góc tới hạn (phản xạ toàn phần)","ˈkrɪtɪkəl ˈæŋgəl"
"denser medium","môi trường chiết quang hơn","ˈdɛnsər ˈmidiəm"
"rarer medium","môi trường kém chiết quang","ˈrɛrər ˈmidiəm"
"mirage","ảo tượng","mɪˈrɑʒ"
"optical fiber","sợi quang học","ˈɑptɪkəl ˈfaɪbər"
"prism","lăng kính","ˈprɪzəm"
"plane mirror","gương phẳng","pleɪn ˈmɪrər"
"spherical mirror","gương cầu","ˈsfɛrɪkəl ˈmɪrər"
"concave mirror","gương cầu lõm","kɑnˈkeɪv ˈmɪrər"
"convex mirror","gương cầu lồi","kənˈvɛks ˈmɪrər"
"center of curvature","tâm gương","ˈsɛntər əv ˈkɜrvəʧər"
"principal axis","trục chính","ˈprɪnsəpəl ˈæksɪs"
"focus","hội tụ, tập trung","ˈfoʊkəs"
"focus (pl. foci)/focal point","tiêu điểm","ˈfoʊkəs (ˈfoʊsaɪ, ˈfoʊkaɪ)"
"focal point","tiêu điểm","ˈfoʊkəl pɔɪnt"
"focal length","tiêu cự","ˈfoʊkəl lɛŋkθ"
"field of view","thị trường","fild əv vju"
"object distance","khoảng cách vật","ˈɑbʤɛkt ˈdɪstəns"
"image distance","khoảng cách ảnh","ˈɪmɪʤ ˈdɪstəns"
"(lateral) magnification","độ phóng đại","(ˈlætərəl) ˌmægnəfɪˈkeɪʃən"
"real object","vật thật","riəl ˈɑbʤɛkt"
"real image","ảnh thật","riəl ˈɪmɪʤ"
"virtual object","vật ảo","ˈvɜrʧuəl ˈɑbʤɛkt"
"virtual image","ảnh ảo","ˈvɜrʧuəl ˈɪmɪʤ"
"ray diagram","hình vẽ các tia sáng","reɪ ˈdaɪəˌgræm"
"lens","thấu kính","lɛnz"
"thin lens","thấu kính mỏng","θɪn lɛnz"
"converging lens (convex lens)","thấu kính hội tụ (thấu kính lồi)","kənˈvɜrʤɪŋ lɛnz (kənˈvɛks lɛnz)"
"diverging lens (concave lens)","thấu kính phân kỳ (thấu kính lõm)","daɪˈvɜrʤɪŋ lɛnz (kɑnˈkeɪv lɛnz)"
"lens maker’s equation","công thức tiêu cự thấu kính","lɛnz ˈmeɪkərz ɪˈkweɪʒən"
"cornea","giác mạc","ˈkɔrniə"
"iris","mống mắt (tròng đen)","ˈaɪrəs"
"pupil","con ngươi","ˈpjupəl"
"lens","thủy tinh thể","lɛnz"
"vitreous fluid","dịch thủy tinh","ˈvɪtriəs ˈfluɪd"
"retina","võng mạc","ˈrɛtɪnə"
"fovea","điểm vàng","ˈfoʊviə"
"blind spot","điểm mù","blaɪnd spɑt"
"resolving power","năng suất phân ly","riˈzɑlvɪŋ ˈpaʊər"
"accommodation","sự điều tiết","əˌkɑməˈdeɪʃən"
"near point","điểm cực cận","nɪr pɔɪnt"
"far point","điểm cực viễn","fɑr pɔɪnt"
"sharp","rõ nét","ʃɑrp"
"fuzzy","nhòe","ˈfʌzi"
"nearsightedness; myopia","tật cận thị","ˈnirˌsaɪtɪdnəs ; maɪˈoʊpiə"
"nearsighted; myopic","có tật cận thị","ˈnirˌsaɪtɪd ; maɪˈɑpɪk"
"farsightedness; hyperopia","tật viễn thị","ˌfɑrˈsaɪtɪdnəs ; ˌhaɪpəˈroʊpiə"
"farsighted; hyperopic","có tật viễn thị","ˈfɑrˈsaɪtəd ; ˌhaɪpəˈroʊpɪk"
"optical instrument","quang cụ","ˈɑptɪkəl ˈɪnstrəmənt"
"angular magnification","số bội giác","ˈæŋgjələr ˌmægnəfəˈkeɪʃən"
"magnifying power","số bội giác","ˈmægnəˌfaɪɪŋ ˈpaʊər"
"magnifier; magnifying glass","kính lúp","ˈmægnəˌfaɪər ; ˈmægnəˌfaɪɪŋ glæs"
"microscope","kính hiển vi","ˈmaɪkrəˌskoʊp"
"telescope","kính thiên văn","ˈtɛləˌskoʊp"
"objective","vật kính","əbˈʤɛktɪv"
"eyepiece","thị kính","ˈaɪˌpis"
"aberration","hiện tượng quang sai","ˌæbəˈreɪʃən"
"spherical aberration","hiện tượng cầu sai","ˈsfɛrɪkəl ˌæbəˈreɪʃən"
"chromatic aberration","hiện tượng sắc sai","kroʊˈmatik ˌæbəˈreɪʃən"
"wave optics","quang học sóng","weɪv ˈɑptɪks"
"light wave","sóng ánh sáng","laɪt weɪv"
"disperse","phân tán, tán sắc","dɪˈspɜrs"
"dispersion of light","sự tán sắc ánh sáng","dɪˈspɜrʒən əv laɪt"
"white light","ánh sáng trắng","waɪt laɪt"
"monochromatic light","ánh sáng đơn sắc","ˌmɑnəkroʊˈmætɪk laɪt"
"visible light","ánh sáng khả kiến","ˈvɪzəbəl laɪt"
"rainbow","cầu vồng","ˈreɪnˌboʊ"
"interference of light","sự giao thoa ánh sáng","ˌɪntərˈfɪrəns əv laɪt"
"double-slit interference","giao thoa hai khe hẹp (khe Young)","ˈdʌbəl-slɪt ˌɪntərˈfɪrəns"
"(interference) fringe","vân giao thoa","(ˌɪntərˈfɪrəns) frɪnʤ"
"bright fringe","vân sáng","braɪt frɪnʤ"
"dark fringe","vân tối","dɑrk frɪnʤ"
"central maximum","vân sáng trung tâm","ˈsɛntrəl ˈmæksəməm"
"first-order bright fringe","vân sáng bậc 1","fɜrst-ˈɔrdər braɪt frɪnʤ"
"interference pattern","hình ảnh giao thoa","ˌɪntərˈfɪrəns ˈpætərn"
"thin film interference","giao thoa bản mỏng","θɪn fɪlm ˌɪntərˈfɪrəns"
"interferometer","giao thoa kế","ˌɪntərfəˈrɑmətər"
"phase difference","độ lệch pha","feɪz ˈdɪfərəns"
"optical path length","quang lộ","ˈɑptɪkəl pæθ lɛŋkθ"
"optical path length difference","hiệu quang lộ","ˈɑptɪkəl pæθ lɛŋkθ ˈdɪfərəns"
"diffraction","sự nhiễu xạ","dɪˈfrækʃən"
"diffraction of light","nhiễu xạ ánh sáng","dɪˈfrækʃən əv laɪt"
"diffraction grating","cách tử nhiễu xạ","dɪˈfrækʃən ˈgreɪtɪŋ"
"spectrum (pl. spectra)","quang phổ","ˈspɛktrəm (ˈspɛktrə)"
"spectroscope","máy quang phổ","spɛkˈtrɑˌskoʊp"
"spectroscopy","quang phổ học","spɛkˈtrɑskəpi"
"continuous spectrum","quang phổ liên tục","kənˈtɪnjuəs ˈspɛktrəm"
"line spectrum","quang phổ vạch","laɪn ˈspɛktrəm"
"emission spectrum","quang phổ phát xạ","ɪˈmɪʃən ˈspɛktrəm"
"absorption spectrum","quang phổ hấp thụ","əbˈzɔrpʃən ˈspɛktrəm"
"infrared radiation","bức xạ hồng ngoại","ˌɪnfrəˈrɛd ˌreɪdiˈeɪʃən"
"ultraviolet radiation","bức xạ tử ngoại","ˌʌltrəˈvaɪəlɪt ˌreɪdiˈeɪʃən"
"X-ray","tia X","ˈɛksˌreɪ"
"quantum optics","quang lượng tử","ˈkwɑntəm ˈɑptɪks"
"quantum (pl. quanta)","lượng tử","ˈkwɑntəm (ˈkwɑntɑ)"
"quantize","lượng tử hóa","ˈkwɑntaɪz"
"quantization","sự lượng tử hóa","kwɑntaɪˈzeɪʃən"
"photon","lượng tử ánh sáng","ˈfoʊˌtɑn"
"photoelectric effect","hiệu ứng quang điện","ˌfoʊtoʊɪˈlɛktrɪk ɪˈfɛkt "
"photoelectron","electron quang điện","ˌfoʊtoʊɪˈlɛktron"
"photoelectric current","dòng quang điện","ˌfoʊtoʊɪˈlɛktrɪk ˈkɜrənt"
"photoelectric cell","pin quang điện","ˌfoʊtoʊɪˈlɛktrɪk sɛl"
"stopping potential","điện thế hãm","ˈstɑpɪŋ pəˈtɛnʃəl"
"threshold frequency","tần số ngưỡng","ˈθrɛˌʃoʊld ˈfrikwənsi  "
"threshold wavelength","bước sóng ngưỡng (giới hạn quang điện)","ˈθrɛˌʃoʊld ˈweɪˌvlɛŋθ"
"work function","công thoát","wɜrk ˈfʌŋkʃən"
"photoelectric equation","phương trình hiệu ứng quang điện","ˌfoʊtoʊɪˈlɛktrɪk ɪˈkweɪʒən"
"inner photoelectric effect","hiệu ứng quang điện trong","ˈɪnər ˌfoʊtoʊɪˈlɛktrɪk ɪˈfɛkt"
"photoconductor","chất quang dẫn","ˌfoʊtoʊkənˈdʌktər"
"photoconductivity","tính quang dẫn","ˌfoʊtoʊkənˈdʌktɪvɪti"
"photoconductive material","vật liệu quang dẫn","ˌfoʊtoʊkənˈdʌktɪv məˈtɪriəl"
"photoresistor","quang điện trở","ˌfoʊtoʊrɪˈzɪstər"
"luminesce","phát quang","ˌluməˈnɛs"
"luminescence","sự phát quang","ˌluməˈnɛsəns"
"photoluminescence","hiện tượng quang - phát quang","ˌfoʊtoʊˌluməˈnɛsəns"
"luminescent","có tính phát quang","ˌluməˈnɛsənt"
"fluoresce","phát huỳnh quang","ˌflʊˈrɛs"
"fluorescence","sự phát huỳnh quang","ˌflʊˈrɛsəns"
"fluorescent","có tính huỳnh quang","ˌflʊˈrɛsənt"
"Compton scattering","tán xạ Compton","ˈkɑmptən ˈskætərɪŋ"
"Compton shift","độ dời Compton","ˈkɑmptən ʃɪft"
"Bohr’s radius","bán kính Bohr","bɔrz ˈreɪdiəs"
"stationary orbit","quỹ đạo dừng","ˈsteɪʃəˌnɛri ˈɔrbət"
"stationary state","trạng thái dừng","ˈsteɪʃəˌnɛri steɪt"
"nuclear physics","vật lý hạt nhân","ˈnukliər ˈfɪzɪks"
"atomic nucleus (pl. nuclei)","hạt nhân nguyên tử","əˈtɑmɪk ˈnukliəs (ˈnukliˌaɪ)"
"proton","hạt prôton","ˈproʊˌtɑn"
"neutron","hạt nơtron","ˈnuˌtrɑn"
"nucleon","nuclôn","ˈnukliˌɑn"
"neutrino","hạt nơtrinô","nuˈtrinoʊ"
"mass number","số khối (A)","mæs ˈnʌmbər"
"atomic number","số hiệu nguyên tử (Z)","əˈtɑmɪk ˈnʌmbər"
"mass defect","độ hụt khối","mæs ˈdifɛkt"
"nuclear binding energy","năng lượng liên kết hạt nhân","ˈnukliər ˈbaɪndɪŋ ˈɛnərʤi"
"isotope","đồng vị","ˈaɪsəˌtoʊp"
"atomic mass unit","đơn vị khối lượng nguyên tử","əˈtɑmɪk mæs ˈjunɪt"
"radioactive","có tính phóng xạ","ˌreɪdioʊˈæktɪv"
"radioactivity","hiện tượng phóng xạ, hoạt độ phóng xạ","ˈreɪdioʊækˈtɪvɪti"
"radioactive decay","sự phân rã phóng xạ","ˌreɪdioʊˈæktɪv dəˈkeɪ"
"radioactive decay constant","hằng số phóng xạ","ˌreɪdioʊˈæktɪv dəˈkeɪ ˈkɑnstənt"
"radioactive radiation","bức xạ phóng xạ","ˌreɪdioʊˈæktɪv ˌreɪdiˈeɪʃən"
"radioactive element","nguyên tố phóng xạ","ˌreɪdioʊˈæktɪv ˈɛləmənt"
"α radioactive","có tính phóng xạ α","ˈælfə ˌreɪdioʊˈæktɪv"
"α radioactivity","sự phóng xạ α","ˈælfə ˈreɪdioʊækˈtɪvɪti"
"radiocarbon dating","phương pháp xác định niên đại cổ vật dựa vào carbon phóng xạ","ˈreɪdiˌoʊ ˈkɑrbən ˈdeɪtɪŋ"
"half-life","chu kỳ bán rã","hæf-laɪf"
"nuclear fission","sự phân hạch hạt nhân","ˈnukliər ˈfɪʃən"
