en,vi,description
edge,cạnh,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
eight,tám,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
elapsed time,thời gian đã qua,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
ellipse,hình bầu dục,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
endpoint,điểm cuối,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
equal (=),bằng,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
equal to (=),bằng với,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
equation,phương trình,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
equidistant marks,dấu chỉ đồng khoảng cách,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
equilateral polygon,hình nhiều cạnh bằng nhau,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
equilateral triangle,tam giác đều,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
equivalent,"tương đương, đồng dạng",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
equivalent decimals,số thập phân (số lẻ) tương đương,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
equivalent fractions,phân số tương đương,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
halves,một nửa,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
thirds,một phần ba,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
fourths,một phần tư,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
fifths,một phần năm,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
sixths,một phần sáu,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
tenths,một phần mười,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
equivalent numerical expressions,biểu thức bằng số tương đương,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
equivalent ratios,tỉ số tương đương,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
estimate,"đoán chừng, phỏng đoán",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
estimation,sự phỏng đoán,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
estimation strategies,phương thức phỏng đoán,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
compatible numbers,"những số thích hợp, phù hợp",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
front-end estimation,sự phỏng đoán đầu và đuôi,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
reasonable estimates,sự đoán hợp lý,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
rounding,làm tròn số,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
evaluate,"đánh giá trị, tính",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
even number,số chẵn,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
evening,buổi chiều,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
event,sự việc xảy ra,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
examine,xem xét,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
example,"thí dụ, dẫn chứng",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
expanded form,hình thức nới rộng,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
experimental results,kết quả thực nghiệm,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
explain,giải thích,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
explain mathematical relationships,giải thích sự liên hệ một cách toán học,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
explore,"thám hiểm, thăm dò, khám phá",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
explore mathematical relationships,khám phá sự liên hệ một cách toán học,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
exponential notations,dấu hiệu lũy thừa (số mũ),Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
extend a pattern,nới rộng một khuôn mẫu,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
extend models,nới rộng kiểu (cách),Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
extended fact,chứng thực được nới rộng,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
face,mặt,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
fact family (related facts),những sự kiện liên hệ,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
factor (noun),tích số,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
factor (verb),làm thành tích số,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
factorial,"dấu chấm than, giai thừa nguyên tố",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
fair share,chia sẻ công bằng,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
fewer,ít hơn,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
fewer than,ít hơn,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
fifths,thứ năm (thứ tự),Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
first,"thứ nhất, đầu tiên",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
five,năm,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
flip (reflection),lật ngược (phản ảnh),Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
foot (ft),"một đơn vị đo chiều dài (theo hệ thống Anh, Mỹ)",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
formula,công thức,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
formulate conclusions from graphs,"kết luận từ đồ thị, biểu đồ",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
formulate predictions from graphs,"tiên đoán từ đồ thị, biểu đồ",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
four,"bốn, số bốn",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
four-digit number,số có bốn số,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
fourths,thứ tư (số thứ tự),Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
fraction,phân số,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
frequency table,bảng tần số,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
front-end estimation,sự phỏng đoán đầu và đuôi,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
gallon (gal),một đơn vị đo dung tích (ở Mỹ),Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
generate solutions,giải đáp số,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
geometric figure,dạng hình học,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
geometric pattern,khuôn mẫu hình học,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
geometric solid,khối hình học,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
geometry,hình học,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
gram (g),một đơn vị đo trọng lượng,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
graphical representations,"trình bày bằng đồ thị, tọa độ",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
graphs,đồ thị,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
greater,lớn hơn,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
greater than (>),dấu lớn hơn,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
greatest,lớn nhất,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
greatest common divisor (GCD),ước số chung lớn nhất,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
greatest common factor (GCF),thừa số chung lớn nhất,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
grid,"giấy, bảng có ô để vẽ tọa độ",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
group how many,nhóm bao nhiêu,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
guess,đoán,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
half hour,nửa giờ,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
halves,phân nửa,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
halving,chia làm đôi,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
heavy/heavier,nặng/nặng hơn,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
height,chiều cao,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
height of a 3-dimensional figure,chiều cao của một hình nhìn 3 chiều,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
height of a parallelogram,chiều cao của hình bình hành,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
height of a rectangle,chiều cao của hình chữ nhật,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
height of a triangle,chiều cao của hình tam giác,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
heptagon,hình có 7 cạnh,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
hexagon,hình có 6 cạnh (lục giác),Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
higher,cao hơn,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
horizontal,"đường ngang, trục hoành",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
hour,giờ,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
hour hand,kim chỉ giờ,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
hundred chart,bảng một trăm,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
hundred thousands millions,trăm ngàn triệu,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
hundreds,hàng trăm,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
hundreds place,vị trí hàng trăm,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
hundredths,một phần trăm,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
icosahedrons,hình khối có 20 mặt,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
identify,"nhận diện, xác định",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
identify the problem,xác định vấn đề,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
identity element for addition,phần tử cố định của tính cộng,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
identity element for multiplication,phần tử cố định của tính nhân,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
impossible outcomes,kết quả không có thể xảy ra,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
improper fraction,phân số thức (phân số có tử số lớn hơn mẫu số),Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
inch (in),phân Anh (một đơn vị đo chiều dài),Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
increase,gia tăng,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
increasing sequences,"chuỗi số, dãy số tăng lên",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
inequality,bất phương trình,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
input values,"giá trị được điền vào, cho số vào",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
inside,ở trong,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
integer,"số đại số, số có dấu âm dương (trừ cộng)",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
interior angles,các góc trong,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
interpret,"diễn giải, dịch ra",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
interpret models,diễn giải bài mẫu,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
intersect,"gặp nhau, giao nhau, cắt nhau",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
intersecting lines,những đường giao nhau,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
invalid approach,cách giải không giá trị,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
inverse operations,phương thức nghịch đảo,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
inverse property,đặc tính nghịch đảo,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
investigate,"điều tra, tìm cách",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
irregular polygon,hình đa giác thường (không đều),Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
irregular shape,hình (dạng) thường (không đều),Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
irrelevant information,"chi tiết, tin tức không hợp lý",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
isosceles triangle,tam giác cân,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
justify,"giải thích, nêu lý do",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
key sequence,chìa khóa (điểm chính yếu) của dãy số,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
key to a graph,"chìa khóa,điểm chính của đồ thị (đường biểu diễn)",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
kilogram (kg),kí lô gam (đơn vị đo trọng lượng),Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
kilometer (km),kí lô mét (đơn vị đo khoảng cách),Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
kite,con diều,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
label work,đặt tên cho bài làm (công việc),Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
"language of logic (and, or, not)","từ của tân toán học (và, hoặc, không)",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
large/larger/largest,lớn/lớn hơn/lớn nhất,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
last,cuối cùng,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
least common denominator (LCD),mẫu số chung nhỏ nhất,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
least common multiple (LCM),tích số chung nhỏ nhất,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
leg of a right triangle,cạnh chân của hình tam giác vuông,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
length,chiều dài,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
less,ít,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
less than,ít hơn,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
lighter,nhẹ hơn,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
like (common) denominators,mẫu số chung,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
likely,gần như,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
line graph,tọa độ đường thẳng,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
line segment,đoạn thẳng,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
line symmetry,đường thẳng (trục) đối xứng,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
listen,nghe,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
liter,lít (một đơn vị đo dung tích),Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
logical reasoning,luận giải một cách có lý,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
long/longer/longest,dài/dài hơn/dài nhất,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
longer,dài hơn,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
longer than,dài hơn,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
look for a pattern,tìm mẫu giống nhau hay sự lặp lại,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
lower,"đơn giản, làm cho ít đi",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
lowest terms (simplest form),kết quả (thành phần) đơn giản nhất,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
make a chart,vẽ một biểu đồ,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
make a diagram,vẽ một sơ đồ,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
make an organized chart,vẽ một bảng (biểu đồ) có thứ tự,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
make an organized list,viết một danh sách thứ tự,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
make conjectures,"đoán chừng, phỏng đoán",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
make observations,quan sát,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
map legend,lời ghi chú trong bản đồ,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
map scale,tỉ lệ xích (trong bản đồ),Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
